date,niveau_eau_E30_102,niveau_eau_E30_X102,conductivite_E30_224,temperature_E30_X222,temperature_E30_201,niveau_eau_E30_116,niveau_eau_E30_X211,oxygene_dissous_Exutoire_0368
20220101,15.2,10.2,12.7,3.4,12.6,0,0.91,2551
20220102,14.9,11.1,13,6.2,11.2,0,1.68,5505
20220103,16,11.9,13.9,8.2,12.4,0.1,1.81,4090
20220104,14.2,12.7,13.4,6.4,12.6,0,1.38,560
20220105,16,11.8,13.9,7.5,10.8,3.8,2.4,1272
20220106,11.2,6.9,9,3.4,9.3,12,0.97,1303
20220107,14.4,2.9,8.6,2,8.3,0.1,0.89,8987
20220108,14.5,-1.1,6.7,3.3,7.5,0.6,1.18,9749
20220109,13.8,1.1,7.4,8.7,8.6,0.5,1.49,4737
20220110,14.1,-2.3,5.9,2.1,6.1,0,1.11,9055
20220111,16,-0.7,7.6,2,5.6,0,1.34,9752
20220112,12.4,-0.1,6.1,4.9,5.3,0,1.94,10297
20220113,13.1,0.2,6.6,3.2,5.2,0,1.62,10564
20220114,15.5,-4.6,5.4,2.2,6.4,0,1.19,10649
20220115,16.1,-3.6,6.2,2.5,7.2,0.1,1.23,10737
20220116,14.9,-3.6,5.6,5.6,8.2,0,1.29,10829
20220117,14.9,2.2,8.5,4.2,8.8,0,1.32,8600
20220118,14.9,-1.3,6.8,1.9,7.7,0,0.97,9259
20220119,14.6,-2,6.3,3.5,9.2,0,0.85,9103
20220120,11.7,11.2,11.5,9.5,8.42,0.2,2.51,5855
20220121,12.8,6.8,9.8,3.6,8.47,3.7,1.41,7793
20220122,14,0.5,7.2,2.2,7.5,0,1.09,10618
20220123,14.6,-3.3,5.6,2.1,7,0,1.1,11559
20220124,15.7,-3.2,6.2,1.4,7.4,0,0.97,10308
20220125,15.2,-1.4,6.9,1.9,7.4,0,1.13,10289
20220126,14.1,-2.1,6,3.3,7.6,0,1.24,8680
20220127,15,-2.2,6.4,3.6,8.2,0,1.27,11812
20220128,14.3,7.5,10.9,3.3,8.53,0,1.59,9713
20220129,15.2,5,10.1,3.6,8.37,0,1.59,11463
20220130,14.4,6.4,10.4,6.2,9.07,0,1.86,7889
20220131,13.8,5.9,9.9,7.1,9.1,0,1.73,8763
20220201,17.5,-2.5,7.5,1.8,5.9,0,1.59,12712
20220202,16.2,0,8.1,6.7,9.4,0,1.65,12370
20220203,17.3,0.5,8.9,3.4,10.2,0.1,1.36,12998
20220204,15.5,7.7,11.6,4.1,10.7,0.1,1.43,10187
20220205,16.7,10,13.3,3.5,10.2,0.1,1.86,5592
20220206,15.3,7.1,11.2,4.4,10.13,0,1.61,10952
20220207,15.6,9.9,12.7,9,9.67,0.2,2.63,7988
20220208,15.7,7.9,11.8,3.1,6.92,0,2.22,13746
20220209,17.7,-3.4,7.1,2.7,7,0.1,1.92,13914
20220210,17.3,-3.1,7.1,2.2,7.1,0,1.72,14074
20220211,15.5,-4.6,5.4,2.7,7.4,0.1,1.53,14237
20220212,15.9,-1.2,7.3,3.1,8.2,0,1.65,14402
20220213,17.1,3.3,10.2,2.9,9.2,0,1.68,9293
20220214,17,2.9,9.9,2.8,9.8,8.9,1.53,10006
20220215,14.1,6.9,10.5,6.9,9.7,1.4,1.83,6449
20220216,16.4,7.5,11.9,5.9,9.4,0,2.5,12064
20220217,19.1,8.9,14,6.9,12.2,0.1,2.46,12483
20220218,21.1,4.8,12.9,6.3,12.6,0,2.42,15428
20220219,13.9,12.9,13.4,8.2,11.92,0,1.73,4427
20220220,15.8,8.4,12.1,6.2,10.2,0,2.34,13199
20220221,15.6,9.6,12.6,11.2,9.8,0.3,2.95,5520
20220222,16.8,9.1,13,4.8,8.63,0,2.89,12776
20220223,17.6,6.8,12.2,2.6,8.63,0.1,2.16,15122
20220224,17.7,5.4,11.5,2.9,9.03,0.1,2.2,16053
20220225,15.6,7.4,11.5,5.6,8.97,0,2.51,12349
20220226,14.5,7.1,10.8,5.6,5.43,0,3.43,13420
20220227,13.8,5,9.4,4.8,4.77,0,3.27,15808
20220228,15.6,0.1,7.8,2.2,6.1,0,2.19,17179
20220301,11.3,-3.6,3.8,3.5,5.4,0,1.91,15551
20220302,13.1,2,7.5,2.8,6.43,0,2.05,16556
20220303,14.1,-2.4,5.8,1.3,7.8,0.2,1.05,5712
20220304,14.7,3.6,9.1,3,9.7,3.7,1.38,7653
20220305,13.6,2.3,7.9,4.4,6.9,0,2.3,13332
