date,Temp_air_celsius,Hum_relative,Vitesse_vent_m_s,Vent_direction_moy_deg,Vent_direction_sd_deg,Rg_W_m2,Rg_kJ_m2,R_net_W_m2,R_net_corr_W_m2,Pluie_mm,Patm_kPa,NDVI_red_mV,NDVI_PIR_mV
01/01/2021 00:00,-2.333,93.5,0.038,233.7,0.008,0,0,-39.1,-39.1,0,100.4,0,-4.848
01/01/2021 00:30,-2.708,93.6,0,0,0,0,0,-41.46,-41.46,0,100.4,0,-4.839
01/01/2021 01:00,-2.833,93.9,0,0,0,0,0,-29.1,-29.1,0,100.4,0,-4.426
01/01/2021 01:30,-2.864,93.8,0,238.1,0,0,0,-23.05,-23.05,0,100.4,0,-4.13
01/01/2021 02:00,-2.878,94,0.43,20.07,0.078,0,0,-22.21,-22.21,0,100.4,0,-3.87
01/01/2021 02:30,-2.545,94.2,0,199.8,0.002,0,0,-19.94,-19.94,0,100.4,0,-3.648
01/01/2021 03:00,-2.358,94.1,0.094,238.4,0.016,0,0,-19,-19,0,100.5,-0.002,-3.856
01/01/2021 03:30,-2.372,94,0.151,318.7,0.037,0,0,-24.89,-24.89,0,100.5,0,-4.079
01/01/2021 04:00,-2.39,94.2,0.195,340.1,0.11,0,0,-29.78,-29.78,0,100.5,0,-4.328
01/01/2021 04:30,-2.335,94.2,0.191,276.6,0.043,0,0,-37.67,-37.67,0,100.5,0,-4.642
01/01/2021 05:00,-2.632,94,0,0,0,0,0,-45.21,-45.21,0,100.5,0,-4.436
01/01/2021 05:30,-2.705,94.3,0,0,0,0,0,-41.37,-41.37,0,100.5,0,-3.965
01/01/2021 06:00,-2.59,94.5,0,0,0,0,0,-39.1,-39.1,0,100.5,0,-3.591
01/01/2021 06:30,-2.71,94.1,0,342.1,0,0,0,-36.58,-36.58,0,100.5,0,-3.795
01/01/2021 07:00,-2.556,94.7,0.257,15.34,0.035,0,0,-37.62,-37.62,0,100.5,0,-3.891
01/01/2021 07:30,-1.697,94.9,1.078,30.38,0.139,0,0,-47.4,-47.4,0,100.6,0,-4.05
01/01/2021 08:00,-1.581,93.9,0.404,36.42,0.085,0,0,-53.35,-53.35,0,100.6,0,-4.009
01/01/2021 08:30,-1.966,93.4,0.19,335.7,0.034,4.258,0.021,-48.83,-48.83,0,100.6,0,-3.767
01/01/2021 09:00,-1.989,93.4,0.282,299.6,0.039,34.56,0.173,-39.35,-39.35,0,100.7,0.124,-2.894
01/01/2021 09:30,-1.258,92.8,0,0,0,130.8,0.654,-10.32,-10.32,0,100.7,0.421,-0.271
01/01/2021 10:00,0.726,91.3,0.067,91,0.041,235.1,1.176,13.68,13.68,0,100.7,0.536,10.96
01/01/2021 10:30,2.492,83.4,0.417,80.7,0.106,211.4,1.057,63.61,63.61,0,100.7,0.491,15.12
01/01/2021 11:00,2.392,78.97,0.975,49.51,0.131,251.5,1.258,111.3,111.3,0.2,100.8,0.517,15.48
01/01/2021 11:30,3.138,74.65,1.271,38.81,0.134,277.4,1.387,141.4,141.4,0,100.8,0.66,16.14
